gaiaid	period_x	Vmag	AV_SandF
3111925220109675136	0.4763267810287424	11.53	0.31
5360400630327427072	0.5274314225504714	11.39	0.85
3677686044939929728	0.5257617653648096	11.35	0.08
5335614752064948224	0.4531865373995627	11.92	2.26
5810433728873201408	0.4718055007602805	12.29	0.22
3030561879348972544	0.7342027384250672	11.31	0.96
6701724002113004928	0.5249984243707231	11.97	0.33
2371321782802181888	0.5862798931113062	11.66	0.06
2981136563934324224	0.5872513177817422	9.77	0.18
3652665558338018048	0.4108081018008607	11.56	0.11
5045760843864182528	0.8037611303288478	12.31	0.04
4860671839583430912	0.6053492379049303	11.07	0.04
4818348922610995200	0.4197802482067345	12.11	0.04
2973463347160718976	0.581474936588288	10.55	0.09
4784552718312266624	0.4403814326768073	11.34	0.03
2414817603803476864	0.6060619237183204	12.04	0.06
6730211038418525056	0.5893306112752015	10.57	0.27
5283957629860435072	0.5705897949572304	11.75	0.17
4417888542753226112	0.7140966570717459	10.19	0.11
5461994302138361728	0.5743372706437857	10.82	0.18
3587566361077304704	0.732843094673274	11.4	0.07
6787617919184986496	0.5869174202967721	11.58	0.26
4825302302864705152	0.4873410559786467	12.49	0.06
234108363683247616	0.4255582359912253	10.5	3.48
630421935431871232	0.4523993788895041	10.75	0.12
1009665142487836032	0.5974230847978719	9.86	0.05
1058066262817534336	0.6604120669093457	9.79	0.03
1286188056265485952	0.3773323149365566	10.34	0.04
1483653713185923072	0.5517635408476624	10.52	0.01
1533880980593444352	0.6978048763046042	12.06	0.06
1561928427003019520	0.4680648194066054	10.71	0.05
1683444631038133248	0.569662983406788	10.48	0.04
1760981190300823808	0.4726231604420973	10.02	0.36
2099623285533405952	0.6820198266609381	12.45	0.46
2110264427784391168	0.4409110671168911	10.98	0.18
2254366868398077312	0.476494618381825	10.18	0.2
2381771781829913984	0.633736907126714	11.14	0.07
2558296724402139392	0.5530278467571875	9.8	0.06
2689556491246048896	0.4593048168480242	11.13	0.23
2828497068363486720	0.64099848047625	10.53	0.22
3626569264033312896	0.5534495007264981	11.93	0.11
3797319369672686592	0.6263455554279316	10.95	0.05
4224859720193721856	0.3617862024338399	11.85	0.22
4593112037219674368	0.5771224916668759	11.79	0.18
4596935593202765184	0.3996004788694698	11.25	0.12
4709830423483623808	0.642260184910422	11.35	0.06
5510293236607430656	0.390746413050336	11.25	0.47
5769986338215537280	0.5711642283047144	10.94	0.47
5773390391856998656	0.5872634876730132	12.32	0.39
6380659528686603008	0.5500763838429199	12.74	0.07
6483680332235888896	0.4796020160208755	10.13	0.13
6771307454464848768	0.477491890360282	10.46	0.26
6226585956422527616	0.6985089900420627	12.48	0.39
2073691475601022336	0.523647458444858	15.23	1.38
2073795929206140416	0.6206932178631166	14.8	1.17
2080455705486937728	0.5331936885513616	15.9	0.42
2101971601853190912	0.6836219519376275	13.13	0.29
2102990574253407744	0.4564970759017539	16.24	0.16
2104438871583819904	0.4881474219316966	13.57	0.28
2105004192359662336	0.4737093970681553	14.24	0.22
2105468529864072704	0.5877992126435977	13.37	0.18
2119119619555858944	0.594237424805584	15.69	0.14
2127827579851196800	0.4337724845599178	14.47	0.19
2128131113782390144	0.5569125438355137	16.27	0.4
2130324914355524992	0.5270247367525039	15.42	0.17
2131968508140833920	0.6132167371691162	11.76	0.15
2132161064413068160	0.6872124201510156	12.78	0.13
2133132895253493760	0.4363821724326485	14.39	0.22
5412243359495900928	0.5735086862155547	11.97	0.8
6570585628216929408	0.5700369398810412	14.0	0.04
6573170751851975936	0.6687564750714012	14.85	0.04
